,Company name Latin alphabet,Ticker symbol,State or province (in US or Canada),DUO - Number of employees,GUO - Number of employees,"Model data - Global parent number of employees
th","Number of employees
2024","Number of employees
2023","Number of employees
2022","Number of employees
2021","Number of employees
2020","Number of employees
2019","Number of employees
2018","Number of employees
2017","Number of employees
2016","Number of employees
2015","Number of employees
2014"
180.,"CORTEVA, INC",CTVA,DE,"21,500","21,500",22,"22,000","22,500","21,000","21,000","21,000","21,000",n.a.,n.a.,n.a.,n.a.,n.a.
181.,"UNIVERSAL HEALTH SERVICES, INC.",UHS,PA,"88,100",-,86,"86,000","73,350","71,200","68,300","68,100","67,700","78,700","76,600","75,325","72,600","68,700"
182.,"PULTEGROUP, INC.",PHM,GA,"6,506","6,506",7,"6,793","6,382","6,524","6,182","5,249","5,245","5,086","4,810","4,623","4,542","4,149"
183.,OMNICOM GROUP INC.,OMC,NY,"120,000","120,000",75,"74,900","75,900","74,200","71,700","64,100","70,000","70,400","77,300","78,500","74,900","74,000"
184.,DEVON ENERGY CORPORATION,DVN,OK,"2,200","2,200",2,"2,300","1,900","1,800","1,600","1,400","1,800","2,900","4,900","5,000","6,600","6,600"
185.,"LEIDOS HOLDINGS, INC.",LDOS,VA,"47,000","47,000",48,"48,000","47,000","45,000","43,000","39,000","34,000","32,000","31,000","32,000","18,000","19,000"
186.,TARGA RESOURCES CORP.,TRGP,TX,"3,570","3,570",3,"3,370","3,182","2,850","2,430","2,372","2,680","2,460","2,130","1,970","1,870","1,350"
187.,"EMCOR GROUP, INC.",EME,CT,"44,000","44,000",40,"40,400","38,300","35,500","34,000","33,000","36,000","33,000","32,000","31,000","29,000","27,000"
188.,"KINDER MORGAN, INC.",KMI,TX,"11,028","11,028",11,"10,933","10,891","10,525","10,529","10,524","11,086","11,012","10,897","11,121","11,290","11,535"
189.,"CONSOLIDATED EDISON, INC.",ED,NY,"15,407","15,407",15,"15,097","14,592","14,319","13,871","14,071","14,890","15,307","15,591","14,960","14,806","14,601"
190.,KEURIG DR PEPPER INC.,KDP,MA,"30,600","30,600",29,"29,400","28,100","28,000","27,500","27,000","25,500","25,500","21,000","20,000","19,000","19,000"
191.,"REPUBLIC SERVICES, INC.",RSG,AZ,"42,000","42,000",42,"42,000","41,000","40,000","35,000","35,000","36,000","36,000","35,000","33,000","33,000","31,000"
192.,"DOMINION ENERGY, INC.",D,VA,"15,200","15,200",15,"14,700","17,700","17,200","17,100","17,300","19,100","21,300","16,200","16,200","14,700","14,400"
193.,KIMBERLY-CLARK CORPORATION,KMB,TX,"36,000","36,000",38,"38,000","41,000","44,000","45,000","46,000","40,000","41,000","42,000","42,000","43,000","43,000"
194.,IQVIA HOLDINGS INC.,IQV,NC,"93,000","93,000",88,"88,000","87,000","86,000","79,000","70,000","67,000","58,000","55,000","50,000","36,100","32,600"
195.,FOX CORPORATION,FOXA,NY,"10,400","10,400",10,"10,200","10,400","10,600","9,000","9,000","7,700",n.a.,n.a.,n.a.,n.a.,n.a.
196.,"C.H. ROBINSON WORLDWIDE, INC.",CHRW,MN,"11,855","11,855",14,"13,781","15,246","17,399","16,877","14,888","15,427","15,262","15,074","14,125","13,159","11,521"
197.,CITIGROUP INC.,C,NY,"226,000","226,000",236,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
198.,"UNITED RENTALS, INC.",URI,CT,"28,500","28,500",28,"27,900","26,300","24,600","20,400","18,250","19,100","18,500","14,800","12,500","12,700","12,500"
199.,ECOLAB INC.,ECL,MN,"48,000","48,000",48,"48,000","48,000","47,000","47,000","44,000","50,200","49,000","48,400","47,565","47,000","47,000"
200.,ILLINOIS TOOL WORKS INC.,ITW,IL,"43,000","43,000",44,"44,000","45,000","46,000","45,000","43,000","45,000","48,000","50,000","50,000","48,000","49,000"
201.,"PPG INDUSTRIES, INC.",PPG,PA,"43,500","43,500",46,"46,000","53,000","52,000","49,300","46,900","47,600","47,300","47,200","47,000","46,600","44,400"
202.,INTERNATIONAL PAPER COMPANY,IP,TN,"37,000","37,000",37,"37,000","39,000","39,000","38,200","49,300","51,000","53,000","56,000","55,000","56,000","58,000"
203.,DTE ENERGY CO,DTE,MI,"9,650","9,650",10,"9,500","9,950","10,250","10,300","10,600","10,700","10,600","10,200","10,000","10,000","11,650"
204.,CORNING INCORPORATED,GLW,NY,"67,200","67,200",56,"56,300","49,800","57,500","61,200","50,110","49,500","51,500","46,200","40,700","35,700","34,600"
205.,TRACTOR SUPPLY COMPANY,TSCO,TN,"52,000","52,000",52,"52,000","50,000","49,000","46,000","41,000","32,000","29,000","28,000","26,000","23,000","21,100"
206.,S&P GLOBAL INC.,SPGI,NY,"44,500","44,500",42,"42,350","40,450","39,950","22,850","23,000","22,500","21,200","20,400","20,000","20,400","17,000"
207.,"BUILDERS FIRSTSOURCE, INC.",BLDR,TX,"28,000","28,000",29,"29,000","29,000","29,000","28,000","26,000","15,800","15,000","15,000","14,000","14,000","3,800"
208.,"STANLEY BLACK & DECKER, INC.",SWK,CT,"43,500","43,500",49,"48,500","50,500","54,200","71,300","53,100","59,438","60,767","57,765","54,023","51,250","50,400"
209.,KENVUE INC.,KVUE,NJ,"22,000","22,000",22,"22,220","22,000","22,200","20,600",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
210.,FIRSTENERGY CORP.,FE,OH,"11,186","11,186",12,"12,294","12,042","12,335","12,395","12,153","12,316","12,494","15,617","15,707","15,781","15,557"
211.,"DIAMONDBACK ENERGY, INC.",FANG,TX,"1,762","1,762",2,"1,983","1,023",972,870,732,712,711,251,158,141,114
212.,TEXTRON INC,TXT,RI,"34,000","34,000",34,"34,000","35,000","34,000","33,000","33,000","35,000","35,000","37,000","36,000","35,000","34,000"
213.,"EXPEDIA GROUP, INC.",EXPE,WA,"16,000","16,000",17,"16,500","17,100","16,500","14,800","19,100","25,400","24,500","22,615","20,075","18,730","18,210"
214.,XCEL ENERGY INC.,XEL,MN,"11,534","11,534",11,"11,380","11,311","11,982","11,321","11,367","11,317","11,092","11,134","11,512","11,687","11,691"
215.,OTIS WORLDWIDE CORPORATION,OTIS,CT,"72,000","72,000",72,"72,000","71,000","69,000","70,000","69,000","69,000","68,500",n.a.,n.a.,n.a.,n.a.
216.,BLACKSTONE INC,BX,NY,"5,285","5,285",35,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
217.,REGENERON PHARMACEUTICALS INC,REGN,NY,"15,410","15,410",15,"15,106","13,450","11,851","10,368","9,123","8,100","7,400","6,200","5,400","4,300","2,925"
218.,THE ESTEE LAUDER COMPANIES INC.,EL,NY,-,-,57,"62,000","62,000","63,000","62,000","48,000","48,000","46,000","46,000","46,000","44,000","42,400"
219.,VIATRIS INC.,VTRS,PA,n.a.,n.a.,32,"32,000","38,000","37,000","37,000","45,000","35,000","35,000","35,000","35,000","35,000","25,000"
220.,CSX CORPORATION,CSX,FL,"23,000","23,000",24,"23,500","23,000","22,500","20,900","19,300","21,000","22,475","24,006","26,628","29,000","32,000"
221.,ARTHUR J. GALLAGHER & CO.,AJG,IL,"72,000","72,000",56,"56,000","52,000","44,000","39,000","32,401","33,300","30,400","26,800","24,800","21,500","20,200"
222.,"DOORDASH, INC.",DASH,CA,"31,400","31,400",24,"23,700","19,300","16,800","8,600","3,886","3,279",n.a.,n.a.,n.a.,n.a.,n.a.
223.,SEMPRA,SRE,CA,"15,938","15,938",17,"16,773","16,835","15,785","15,390","14,706","13,969","16,823","16,046","16,575","17,387","17,046"
224.,DAVITA INC.,DVA,CO,"78,000","78,000",76,"76,000","70,000","70,000","69,000","67,000","65,000","77,700","74,500","70,300","60,400","57,900"
225.,EVERSOURCE ENERGY,ES,MA,"10,731","10,731",11,"10,680","10,171","9,626","9,227","9,299","8,234","7,998","8,084","7,762","7,943","8,248"
226.,"RAYMOND JAMES FINANCIAL, INC.",RJF,FL,"19,500","19,500",19,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
227.,AFLAC INC.,AFL,GA,"12,694","12,694",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
228.,"SERVICENOW, INC.",NOW,CA,"29,187","29,187",26,"26,293","22,668","20,433","16,881","13,096","10,371","8,154","6,222","4,801","3,686","2,826"
229.,"HENRY SCHEIN, INC.",HSIC,NY,"25,000","25,000",25,"25,000","25,000","22,000","21,600","19,000","19,000","18,000","22,000","21,000","19,000","17,500"
230.,BALL CORPORATION,BALL,CO,"16,000","16,000",16,"16,000","21,000","21,000","24,300","21,500","18,300","17,500","18,300","18,450","15,200","14,500"
231.,LAS VEGAS SANDS CORP.,LVS,NV,"41,000",-,40,"39,900","38,400","35,500","44,500","46,000","50,000","51,500","50,500","49,000","46,500","48,500"
232.,ENTERGY CORPORATION,ETR,LA,"12,000","12,000",12,"12,267","12,177","11,707","12,369","13,400","13,635","13,688","13,504","13,513","13,579","13,000"
233.,"INTERCONTINENTAL EXCHANGE, INC.",ICE,GA,"12,844","12,844",13,"12,920","13,222","8,911","8,858","8,890","5,989","5,161","4,952","5,631","5,549","2,902"
234.,"HUNTINGTON INGALLS INDUSTRIES, INC.",HII,VA,"44,000","44,000",44,"44,000","44,000","43,000","44,000","42,000","42,000","40,000","38,000","37,000","36,000","38,000"
235.,THE AES CORPORATION,AES,VA,"9,100","9,100",9,"9,100","9,600","9,100","8,450","8,200",n.a.,n.a.,n.a.,n.a.,"21,000","18,500"
236.,"AIRBNB, INC.",ABNB,CA,"8,200","8,200",7,"7,300","6,907","6,811","6,132","5,597","5,465",n.a.,n.a.,n.a.,n.a.,n.a.
237.,EXPAND ENERGY CORP,EXE,OK,"1,600","1,600",2,"1,700","1,000","1,200","1,300","1,300","2,300","2,350","3,200","3,300","4,400","5,500"
238.,NORFOLK SOUTHERN CORPORATION,NSC,GA,"19,300","19,300",20,"19,600","20,700","19,300","18,100","19,100","24,587","26,662","27,110","28,044","30,456","29,482"
239.,PUBLIC SERVICE ENTERPRISE GROUP INCORPORATED,PEG,NJ,"13,189","13,189",13,"13,047","12,543","12,525","12,684","12,788","12,992","13,145","12,945","13,065","13,025","12,689"
240.,KLA CORPORATION,KLAC,CA,"15,200","15,200",15,"15,230","15,210","14,280","11,300","10,600","10,020","6,550","5,990","5,580","5,880","6,060"
241.,HORMEL FOODS CORPORATION,HRL,MN,"20,000","20,000",20,"20,000","20,000","20,000","20,000","19,100","18,800","20,100","20,200","21,100","20,700","20,400"
242.,"DARDEN RESTAURANTS, INC.",DRI,FL,"197,924","197,924",198,"191,105","187,384","178,956","156,883","177,000","184,514","180,656","178,729","150,942","148,892","206,489"
243.,MOSAIC COMPANY (THE),MOS,FL,"13,000","13,000",10,"10,454","10,352","13,570","12,525","12,617","12,600","12,900","8,500","8,700","8,900","9,100"
244.,HILTON WORLDWIDE HOLDINGS INC.,HLT,VA,"182,000","182,000",181,"181,000","178,000","159,000","142,000","141,000","173,000","169,000","163,000","169,000","164,000","157,000"
245.,"AIR PRODUCTS AND CHEMICALS, INC.",APD,PA,"21,300","21,300",23,"23,000","23,000","21,900","20,875","19,275","17,700","16,300","15,300","18,600","19,700","21,200"
246.,JACOBS SOLUTIONS INC.,J,TX,"43,000","43,000",45,"45,000","60,000","60,000","55,000","55,000","52,000","80,800","54,700","54,900","64,000","66,300"
247.,VERTEX PHARMACEUTICALS INCORPORATED,VRTX,MA,"6,400","6,400",6,"6,100","5,400","4,800","3,900","3,400","3,000","2,500","2,300","2,150","1,950","1,830"
248.,"J.B. HUNT TRANSPORT SERVICES, INC.",JBHT,AR,"31,750","31,750",34,"33,646","34,718","37,151","33,045","30,309","29,056","27,621","24,681","22,190","21,562","20,158"
249.,"THE WILLIAMS COMPANIES, INC.",WMB,OK,"5,987","5,987",6,"5,829","5,601","5,043","4,783","4,739","4,812","5,322","5,425","5,604","6,578","6,742"
250.,"CHIPOTLE MEXICAN GRILL, INC.",CMG,CA,"130,301","130,301",131,"130,504","116,068","104,958","97,660","88,000","83,000","73,000","68,890","64,570","59,330","53,090"
251.,MORGAN STANLEY,MS,NY,"83,000","83,000",80,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
252.,THE HERSHEY COMPANY,HSY,PA,6,6,20,"20,030","20,505","19,865","18,990","16,880","16,140","16,420","16,910","17,980","20,710","22,450"
253.,"MOTOROLA SOLUTIONS, INC.",MSI,IL,"23,000","23,000",21,"21,000","21,000","20,000","18,700","18,000","17,000","16,000","15,000","14,000","14,000","15,000"
254.,"CONAGRA BRANDS, INC.",CAG,IL,"18,300","18,300",18,"18,500","18,600","18,000","18,600","16,500","18,000","12,400","12,600","20,900","32,900","32,800"
255.,W. R. BERKLEY CORPORATION,WRB,CT,"8,606","8,606",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
256.,"ULTA BEAUTY, INC.",ULTA,IL,"58,000","58,000",58,"58,000","56,000","53,000","40,500","37,000","44,000","44,000","34,700","31,800","26,500","22,400"
257.,BAXTER INTERNATIONAL INC,BAX,IL,"37,500","37,500",38,"38,000","60,000","60,000","60,000","50,000","50,000","50,000","47,000","48,000","50,000","66,000"
258.,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORPORATION,WAB,PA,"31,000","31,000",30,"29,500","29,000","27,000","25,000","27,000","27,500","18,000","18,000","20,000","13,000","12,600"
259.,MOLSON COORS BEVERAGE COMPANY,TAP,CO,"16,200","16,200",17,"16,800","16,500","16,600","16,300","17,000","17,700","17,750","17,200","17,400","15,100","17,400"
260.,EBAY INC,EBAY,CA,"12,300","12,300",12,"11,500","12,300","11,600","10,800","12,700","13,300","14,000","14,100","12,600","11,600","34,600"
261.,"EXPEDITORS INTERNATIONAL OF WASHINGTON, INC.",EXPD,WA,"19,800","19,800",18,"18,400","18,100","19,900","19,070","17,500","18,000","17,400","16,500","16,000","15,397","14,670"
262.,QUEST DIAGNOSTICS INCORPORATED,DGX,NJ,"57,000","57,000",56,"56,000","48,000","49,000","49,000","49,000","47,000","46,000","45,000","43,000","44,000","45,000"
263.,ANALOG DEVICES INC,ADI,MA,"24,500","24,500",24,"24,000","26,000","24,450","24,700","15,900","16,400","15,800","15,300","10,000","9,700","9,600"
264.,INTERNATIONAL FLAVORS & FRAGRANCES INC,IFF,NY,n.a.,n.a.,22,n.a.,"21,500","24,600","24,000","13,700","13,600","13,000","7,300","6,900","6,700","6,200"
265.,WELLTOWER INC,WELL,OH,712,712,13,685,533,514,464,423,443,384,392,466,476,438
266.,"FIDELITY NATIONAL INFORMATION SERVICES, INC.",FIS,FL,"44,000","44,000",50,"50,000","60,000","69,000","65,000","62,000","55,000","47,000","53,000","55,000","55,000","40,000"
267.,AMERICAN TOWER CORPORATION,AMT,MA,"4,866","4,866",5,"4,691","5,643","6,391","6,378","5,618","5,454","5,026","4,752","4,507","3,371","2,974"
268.,LULULEMON ATHLETICA INC.,LULU,DE,"39,000","39,000",39,"39,000","38,000","34,000","29,000","25,000","19,000","15,700","13,400","12,500","11,000","8,628"
269.,"NVR, INC.",NVR,VA,"6,300","6,300",7,"7,000","6,300","6,550","6,600","6,100","5,700","5,600","5,200","4,900","4,300","3,942"
270.,CINTAS CORP,CTAS,OH,"48,300","48,300",48,"46,500","44,500","43,000","40,000","40,000","45,000","41,000","42,000","35,000","32,000","33,000"
271.,CAMPBELL SOUP COMPANY,CPB,NJ,"13,700","13,700",14,"14,400","14,500","14,700","14,100","14,500","19,000","23,000","18,000","16,500","18,600","19,400"
272.,LOEWS CORP.,L,NY,"13,000","13,000",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
273.,"CONSTELLATION BRANDS, INC.",STZ,NY,"10,600","10,600",11,"10,600","10,600","10,700","10,000","9,300","9,000","9,800","9,600","8,700","9,000","7,200"
274.,"INTUITIVE SURGICAL, INC.",ISRG,CA,"17,021","17,021",16,"15,638","13,676","12,120","9,793","8,081","7,326","5,527","4,444","3,755","3,211","2,978"
275.,BIOGEN INC.,BIIB,MA,"7,500","7,500",8,"7,605","7,570","8,725","9,610","9,100","7,400","7,800","7,300","7,400","7,350","7,550"
276.,"WEC ENERGY GROUP, INC.",WEC,WI,"7,151","7,151",7,"7,017","7,000","7,022","6,938","7,273","7,509","7,878","8,129","7,983","8,211","4,248"
277.,ASSURANT INC.,AIZ,NY,"14,200","14,200",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
278.,"WORKDAY, INC.",WDAY,CA,-,-,20,"20,400","18,800","17,700","15,200","12,500","12,200","10,500","8,200","6,600","5,200","3,750"
279.,WESTERN DIGITAL CORPORATION,WDC,CA,"40,000","40,000",40,"51,000","53,000","65,000","65,600","63,800","61,800","71,600","68,000","72,878","76,449","84,072"
280.,ZOETIS INC.,ZTS,NJ,"14,500","14,500",14,"13,800","14,100","13,800","12,100","11,300","10,600","10,000","9,200","9,000","9,000","10,000"
281.,"CENTERPOINT ENERGY, INC.",CNP,TX,"8,794","8,794",9,"8,872","8,827","8,986","9,418","9,541","14,262","7,977","7,977","7,727","7,505","8,540"
282.,PRINCIPAL FINANCIAL GROUP INC,PFG,IA,"13,284","13,284",3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
283.,"PALO ALTO NETWORKS, INC.",PANW,CA,"16,068","16,068",16,"15,289","13,948","12,561","10,473","8,014","7,014","5,348","4,562","3,795","2,637","1,722"
284.,"EQUINIX, INC.",EQIX,CA,"13,716","13,716",14,"13,606","13,151","12,097","10,944","10,013","8,378","7,903","7,273","5,993","5,042","3,866"
285.,COMFORT SYSTEMS USA INC,FIX,TX,"22,700","22,700",18,"18,300","15,800","14,100","13,200","11,000","12,000","9,900","8,700","7,700","7,301","7,077"
286.,PPL CORP,PPL,PA,"6,546","6,546",7,"6,653","6,629","6,527","5,607","12,318","12,280","12,444","12,512","12,689","12,799","17,391"
287.,XYLEM INC.,XYL,DC,"22,000","22,000",23,"23,000","23,000","17,800","17,300","16,700","16,300","17,000","16,200","16,000","12,700","12,500"
288.,"ARISTA NETWORKS, INC.",ANET,CA,"5,115","5,115",4,"4,412","4,023","3,612","2,993","2,613","2,300","2,300","1,800","1,500","1,200","1,000"
289.,PACKAGING CORPORATION OF AMERICA,PKG,IL,"16,800","16,800",15,"15,400","14,900","15,100","15,200","15,200","15,500","15,000","14,600","14,000","13,000","14,000"
290.,APA CORPORATION,APA,TX,"1,791","1,791",2,"2,305","2,271","2,273","2,253","2,272","3,163","3,420","3,356","3,727","3,860","4,950"
291.,CINCINNATI FINANCIAL CORP.,CINF,OH,"5,624","5,624",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
292.,"FRANKLIN RESOURCES, INC.",BEN,CA,"9,800","9,800",10,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
293.,AVERY DENNISON CORPORATION,AVY,OH,"35,000","35,000",35,"35,000","35,000","36,000","36,000","32,000","30,000","30,000","30,000","27,000","26,000","25,000"
294.,TRANSDIGM GROUP INCORPORATED,TDG,OH,"16,500","16,500",17,"16,600","15,500","14,400","13,300","14,200","18,300","10,100","9,200","9,300","8,200","7,300"
295.,AMEREN CORPORATION,AEE,MO,"8,913","8,913",9,"8,981","9,372","9,244","9,116","9,183","9,323","8,838","8,615","8,629","8,527","8,527"
296.,"PROLOGIS, INC.",PLD,CA,"2,802","2,802",3,"2,703","2,574","2,466","2,053","1,945","1,712","1,617","1,565","1,530","1,555","1,505"
297.,THE J. M. SMUCKER COMPANY,SJM,OH,"8,000","8,000",8,"9,000","5,800","6,700","7,100","7,300","7,400","7,000","7,140","6,910","7,370","4,775"
298.,EQT CORPORATION,EQT,PA,"1,523","1,523",1,"1,461",881,744,693,624,647,863,"2,067","1,809","1,914","1,750"
